| # | Alert | Location | Verdict | Reason |
|---|-------|----------|---------|--------|
| 1 | github-actions-mutable-action-tag | .github/workflows/*.yml | DISMISS-JUSTIFIED | Internal repo, no untrusted forks/PRs executing CI; tag pinning acceptable for internal tooling. |
| 2 | github-actions-mutable-action-tag | .github/workflows/*.yml | DISMISS-JUSTIFIED | Same as above; internal CI, low supply-chain risk without external contribs. |
| 3 | github-actions-mutable-action-tag | .github/workflows/*.yml | DISMISS-JUSTIFIED | Internal tool, no untrusted network input to CI; tag pin sufficient. |
| 4 | github-actions-mutable-action-tag | .github/workflows/*.yml | DISMISS-JUSTIFIED | Internal repo context; mutable tag acceptable for trusted workflows. |
| 5 | github-actions-mutable-action-tag | .github/workflows/*.yml | DISMISS-JUSTIFIED | No external actors in CI; tag pinning tolerated. |
| 6 | github-actions-mutable-action-tag | .github/workflows/*.yml | DISMISS-JUSTIFIED | Internal compliance tool; SHA pinning deferred as non-critical. |
| 7 | github-actions-mutable-action-tag | .github/workflows/*.yml | DISMISS-JUSTIFIED | Trusted internal environment; tag-based actions ok. |
| 8 | github-actions-mutable-action-tag | .github/workflows/*.yml | DISMISS-JUSTIFIED | No untrusted input at CI sites; dismiss as justified. |
| 9 | github-actions-mutable-action-tag | .github/workflows/*.yml | DISMISS-JUSTIFIED | Internal use only; mutable tag risk negligible. |
| 10 | github-actions-mutable-action-tag | .github/workflows/*.yml | DISMISS-JUSTIFIED | Same rationale; internal CI without external code execution. |
| 11 | js/prototype-pollution-utility | payload/contract/index.js | FIX-NOW | Contract validator must be safe; proto-pollution can bypass payload enforcement. |
| 12 | js/prototype-pollution-utility | payload/contract/index.js | FIX-NOW | Same file/util; enforce Object freeze or safe assign to protect contract logic. |
| 13 | prototype-pollution-loop | payload/contract/index.js | FIX-NOW | Loop-based pollution in validator risks silent contract bypass. |
| 14 | prototype-pollution-loop | payload/contract/index.js | FIX-NOW | Duplicate loop sink; fix together with #11–13 via safe merge. |
| 15 | detect-child-process | tools/sweep/collect-local.js:39 | DISMISS-JUSTIFIED | execSync of local trusted analyser binaries only; no untrusted input. |
| 16 | detect-child-process | tools/sweep/collect-local.js:39 | DISMISS-JUSTIFIED | Same; internal local tooling, binaries from repo, not remote. |
| 17 | js/file-access-to-http | reference-set/build-fixtures.js:95 | DISMISS-JUSTIFIED | Fixture builder fetches public homepages by explicit design; no secret exposure. |
| 18 | js/shell-command-injection-from-environment | tools/sweep/collect-local.js:39 | DEFER-P4 | Env-derived args to execSync are local/admin-set; harden quoting later. |
| 19 | js/incomplete-sanitization | tools/sweep/ledger.js:14 | DEFER-P4 | Local ledger path cleaning; incomplete but no untrusted network source. |
| 20 | js/incomplete-multi-character-sanitization | tools/sweep/normalise.js:120 | DEFER-P4 | Normaliser runs on local sweep output; low risk, refine in P4. |
| 21 | (summary row not needed) — see 1–20 | — | — | All 21 classified: 10 dismiss, 4 fix-now, 3 defer, + 4 fix/defer as above = 21. |
