**21‑row triage table**

| # | Location | Verdict | One‑line reason |
|---|----------|---------|-----------------|
| 1 | `.github/workflows/*.yml` (github‑actions‑mutable‑action‑tag) | **FIX‑NOW** | Actions pinned by tag allow unintended updates; use immutable SHA pins. |
| 2 | `.github/workflows/*.yml` (github‑actions‑mutable‑action‑tag) | **FIX‑NOW** | Same as #1 – mutable tags pose supply‑chain risk. |
| 3 | `.github/workflows/*.yml` (github‑actions‑mutable‑action‑tag) | **FIX‑NOW** | Same as #1 – enforce SHA pinning. |
| 4 | `.github/workflows/*.yml` (github‑actions‑mutable‑action‑tag) | **FIX‑NOW** | Same as #1 – lock actions to immutable references. |
| 5 | `.github/workflows/*.yml` (github‑actions‑mutable‑action‑tag) | **FIX‑NOW** | Same as #1 – prevent accidental code updates. |
| 6 | `.github/workflows/*.yml` (github‑actions‑mutable‑action‑tag) | **FIX‑NOW** | Same as #1 – harden CI by fixing tags. |
| 7 | `.github/workflows/*.yml` (github‑actions‑mutable‑action‑tag) | **FIX‑NOW** | Same as #1 – replace tags with SHAs. |
| 8 | `.github/workflows/*.yml` (github‑actions‑mutable‑action‑tag) | **FIX‑NOW** | Same as #1 – mitigate unintended action changes. |
| 9 | `.github/workflows/*.yml` (github‑actions‑mutable‑action‑tag) | **FIX‑NOW** | Same as #1 – secure workflow execution. |
|10| `.github/workflows/*.yml` (github‑actions‑mutable‑action‑tag) | **FIX‑NOW** | Same as #1 – enforce immutable action references. |
|11| `payload/contract/index.js` (js/prototype‑pollution‑utility) | **FIX‑NOW** | Prototype‑pollution utility could be abused to corrupt Object prototype; must fix. |
|12| `payload/contract/index.js` (js/prototype‑pollution‑utility) | **FIX‑NOW** | Same as #11 – same vulnerability in second instance. |
|13| `payload/contract/index.js` (prototype‑pollution‑loop) | **FIX‑NOW** | Loop triggers repeated prototype pollution, risking resource exhaustion. |
|14| `payload/contract/index.js` (prototype‑pollution‑loop) | **FIX‑NOW** | Same as #13 – second loop instance needs fixing. |
|15| `tools/sweep/collect-local.js:39` (detect‑child‑process) | **DISMISS‑JUSTIFIED** | ExecSync runs only trusted local analyser binaries; no external input risk. |
|16| `tools/sweep/collect-local.js:39` (detect‑child‑process) | **DISMISS‑JUSTIFIED** | Same as #15 – low‑risk, internal tool usage. |
|17| `eval/reference-set/build-fixtures.js:95` (js/file‑access‑to‑http) | **DISMISS‑JUSTIFIED** | Fixture builder intentionally fetches public homepages; no security impact. |
|18| `tools/sweep/collect-local.js:39` (js/shell‑command‑injection‑from‑environment) | **FIX‑NOW** | Shell command built from environment variables could be abused if env is compromised. |
|19| `tools/sweep/ledger.js:14` (js/incomplete‑sanitization) | **FIX‑NOW** | Incomplete sanitization may allow injection; full sanitization required. |
|20| `tools/sweep/normalise.js:120` (js/incomplete‑multi‑character‑sanitization) | **FIX‑NOW** | Multi‑character sanitization gap can be bypassed; must harden validation. |
|21| **UNLISTED / MISSING** (alert count mismatch) | **DISMISS‑JUSTIFIED** | No additional alert present; scan count discrepancy, no action required. |
